item,price,region,like,chat,image
여성과 주니어용자전거,"50,000원",제주 제주시 일도2동,7,8,images/jj/jjimg85.jpg
마끼다 무선 원형샌딩기 (18V) 중고 팝니다,"80,000원",제주 제주시 한림읍,3,5,images/jj/jjimg86.jpg
클리쎄 김치냉장고 102리터,"70,000원",제주 제주시 이도2동,16,15,images/jj/jjimg87.jpg
기변으로 판매 합니다,2900만원,제주 제주시 삼양이동,2,1,images/jj/jjimg88.jpg
4인용쇼파+스툴 (거의새거),"350,000원",제주 제주시 연동,48,4,images/jj/jjimg89.jpg
CK 시계 팝니다,"10,000원",제주 제주시 연동,4,4,images/jj/jjimg90.jpg
삼성 스탠드 에어컨,"450,000원",제주 서귀포시 서호동,1,7,images/jj/jjimg91.jpg
소베맘 기저귀갈이대,"45,000원",제주 제주시 월평동,0,5,images/jj/jjimg92.jpg
쇼파  팝니다,"50,000원",제주 제주시 화북동,23,13,images/jj/jjimg93.jpg
스피커,"90,000원",제주 제주시 이도2동,15,12,images/jj/jjimg94.jpg
삼성 노트북 윈도우11 풀HD SSD 5G,"300,000원",제주 제주시 이도1동,28,10,images/jj/jjimg95.jpg
파타고니아 후리스,"20,000원",제주 제주시 노형동,8,2,images/jj/jjimg96.jpg
농약 분무기,"220,000원",제주 서귀포시 서호동,11,9,images/jj/jjimg97.jpg
삼성 제습기  팔아요,"50,000원",제주 제주시 이도2동,3,5,images/jj/jjimg98.jpg
