item,price,region,like,chat,image
카페용품 풀세트 급처합니다,350만원,전북 전주시 덕진구 금암1동,16,12,images/jb/jbimg83.jpg
"캠핑용품(2버너,1버너,코펠,선풍기,렌턴)","5,000원",전북 군산시 조촌동,9,15,images/jb/jbimg84.jpg
철제 의자 테이블 셋트,"100,000원",전북 전주시 완산구 동서학동,15,5,images/jb/jbimg85.jpg
임팩 팔아요,"50,000원",전북 전주시 완산구 중화산2동,10,5,images/jb/jbimg86.jpg
블랙야크 안전화,"20,000원",전북 전주시 덕진구 우아2동,1,3,images/jb/jbimg87.jpg
육각렌치,"15,000원",전북 전주시 완산구 서신동,4,2,images/jb/jbimg88.jpg
손.청소기,"10,000원",전북 김제시 공덕면,4,3,images/jb/jbimg89.jpg
딤채냉장고,"50,000원",전북 전주시 완산구 효자동3가,2,3,images/jb/jbimg90.jpg
원목 2단 선반 1000,"10,000원",전북 익산시 삼성동,3,1,images/jb/jbimg91.jpg
아이브 포카 양도,"10,000원",전북 군산시 지곡동,8,9,images/jb/jbimg92.jpg
아이폰12미니128기가팝니다.,"300,000원",전북 정읍시 시기동,2,4,images/jb/jbimg93.jpg
삼단 서랍장,"30,000원",전북 익산시 영등1동,4,2,images/jb/jbimg94.jpg
카봇 또봇 일괄 5만원에 팝니다!!!,"50,000원",전북 군산시 나운3동,0,3,images/jb/jbimg95.jpg
