index,item,price,region,like,chat,image
37,표고버섯+검정콩)사진그대로)일괄판매요,"10,000원",광주 남구 봉선1동,12,1,https://dnvefa72aowie.cloudfront.net/origin/article/202307/84a8c0f14e1cefec1af99d0bb8ba8ae34162d9ad4ad1288eaad2303d476c3448_0.webp?q=82&s=300x300&t=crop&f=webp
38,"크록스 바야 화이트 새제품 팝니다 사이즈 240,260,265","30,000원",광주 북구 오치1동,15,9,https://dnvefa72aowie.cloudfront.net/origin/article/202307/cd1a2604174307d065078f486a087eb19a67b55c3bee2837fd358e74e85e0cff_0.webp?q=82&s=300x300&t=crop&f=webp
39,아이폰11 64기가,"230,000원",광주 서구 상무1동,8,10,https://dnvefa72aowie.cloudfront.net/origin/article/202307/e857718e3a97eb0eef0ada40aaf6dd8cd9fccb44283bfb206674dee60ce41504.jpg?q=82&s=300x300&t=crop&f=webp
40,퀸센스 라면포트,나눔🧡,광주 서구 농성동,3,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/cd5ef875032b7bff7380101b80cafa1f65e11e2b711fac6347483f913a4fa8f0.jpg?q=82&s=300x300&t=crop&f=webp
41,진열대 최고상태팜니다,"40,000원",광주 광산구 장덕동,5,7,https://dnvefa72aowie.cloudfront.net/origin/article/202307/645a284894cde280d41474990e7f4c94cc72c9f2bef8eb953138c2e0b2e9430b.webp?q=82&s=300x300&t=crop&f=webp
42,창문형 에어컨,"60,000원",광주 광산구 도천동,4,7,https://dnvefa72aowie.cloudfront.net/origin/article/202307/647fbbd5e789f4c6a53085fbae3628e971fbb7d6848f8e97ff5be06cc2aff21b.jpg?q=82&s=300x300&t=crop&f=webp
43,철재선반,"10,000원",광주 광산구 신창동,2,3,https://dnvefa72aowie.cloudfront.net/origin/article/202307/f05a5e1886835ea9145cc18faf2fcf68c6683e5456934058afc23d5054e75fab_0.webp?q=82&s=300x300&t=crop&f=webp
44,알톤 자전거 팔아요,"50,000원",광주 북구 중흥동,13,12,https://dnvefa72aowie.cloudfront.net/origin/article/202307/cba21afe21bb4809043ceeb478bcf116a545bb7a3f7ebb3b9f60ccbbc636445d_0.webp?q=82&s=300x300&t=crop&f=webp
45,드럼세탁기,"150,000원",광주 북구 용봉동,4,6,https://dnvefa72aowie.cloudfront.net/origin/article/202307/6fadcf92e36bc3476483e7236871289c3027df42c3534a6d28ac34957d6da8c9_0.webp?q=82&s=300x300&t=crop&f=webp
46,타이니모빌,"10,000원",광주 북구 매곡동,5,4,https://dnvefa72aowie.cloudfront.net/origin/article/202307/ae17544b8625dd8f3674885aeccadeb9c1444ee720fc36b2df58a6dae793bda7_0.webp?q=82&s=300x300&t=crop&f=webp
47,스터디카페 토즈 책상 시디즈 의자 테이블,"60,000원",광주 북구 운암동,18,11,https://dnvefa72aowie.cloudfront.net/origin/article/202307/f8576a9b4bf1b98a546735b342d9b1cbb2450290b4456ef216aa7ecc52cc3791_0.webp?q=82&s=300x300&t=crop&f=webp
