index,item,price,region,like,chat,image
35,lg 65인치 tv  부품용/수리해서 쓰실 분,"10,000원",부산 동구 범일동,8,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/49b439e41910ad5aa7a6fd1ca3b69bb932078726f15fda457c3e2d225cc7f053_0.webp?q=82&s=300x300&t=crop&f=webp
36,샤넬 카드지갑,"150,000원",부산 해운대구 재송제1동,20,15,https://dnvefa72aowie.cloudfront.net/origin/article/202307/66e628c8f810761834de41f0e33253706c278f6201242ea082b0f609232e06f0.jpg?q=82&s=300x300&t=crop&f=webp
37,예약 완료 캠핑 피크닉 폴딩테이블 새상품 판매,"10,000원",부산 동래구 칠산동,10,7,https://dnvefa72aowie.cloudfront.net/origin/article/202307/ce6a9a55afd92440ee4541a829b31bee5aa6932663ef3d86a4ad53fee1dd4fb4_0.webp?q=82&s=300x300&t=crop&f=webp
38,젝시오11 xxio 여자골프채 아이언세트(mp1100),"270,000원",부산 연제구 연산동,26,2,https://dnvefa72aowie.cloudfront.net/origin/article/202307/e648c07cfd83e09fa80edf7c1b49ad17ce6cec85141e8e9e66a912854be964ae.jpg?q=82&s=300x300&t=crop&f=webp
39,삼성 갤럭시 노트9  128  kt정상해지폰,"70,000원",부산 부산진구 부암제1동,4,12,https://dnvefa72aowie.cloudfront.net/origin/article/202307/68a20241e951a23e46e81f08bfb1c250492d9571ca567dd940b514ee610f592f_0.webp?q=82&s=300x300&t=crop&f=webp
40,삼성 43인치 티비 팝니다,"150,000원",부산 해운대구 좌동,15,11,https://dnvefa72aowie.cloudfront.net/origin/article/202307/5dc789ecbc693bec6ac53e7f7592a34f146cacd1a6ff0b833c35ac49c3841d61.jpg?q=82&s=300x300&t=crop&f=webp
41,냉장고,"90,000원",부산 해운대구 우동,2,9,https://dnvefa72aowie.cloudfront.net/origin/article/202307/2f8778e5aed259898d1f5665d3e9b04c820cb850619c812fd4d9d5e46fe2e52f_0.webp?q=82&s=300x300&t=crop&f=webp
42,여름이불,"5,000원",부산 연제구 연산제9동,7,8,https://dnvefa72aowie.cloudfront.net/origin/article/202307/c7f60453250977aa5081b02e6073d352c7dcfc9add12667aaa572b85e6cf9a5f_0.webp?q=82&s=300x300&t=crop&f=webp
43,삼성 에어컨,"150,000원",부산 동래구 사직제3동,2,7,https://dnvefa72aowie.cloudfront.net/origin/article/202307/f4d487f53812dccd7be3243b17a939b4e6f2ae08a4a46f21de7022ae69b6ce06_0.webp?q=82&s=300x300&t=crop&f=webp
44,노트북 부품용~충전기 드림,"30,000원",부산 북구 만덕동,5,6,https://dnvefa72aowie.cloudfront.net/origin/article/202307/9f2688907650feaeb45cc9d8da4b7b0e8e2dbc68cc18c3b5d1beb86760e83900_0.webp?q=82&s=300x300&t=crop&f=webp
45,몬테소리 교구장 책장,"15,000원",부산 남구 대연제3동,18,12,https://dnvefa72aowie.cloudfront.net/origin/article/202307/c513ed81956bed03c50854317134ce5250129e755f300766bfe4cbd6d6d9c2a4_0.webp?q=82&s=300x300&t=crop&f=webp
46,해운대 풀빌라 급양도!,"200,000원",부산 해운대구 좌제4동,31,2,https://dnvefa72aowie.cloudfront.net/origin/article/202307/88b2ea4dcc5ac5957e2daac993ad3d831d8aa5128b46900661d832c3e515c6ed_0.webp?q=82&s=300x300&t=crop&f=webp
47,리샘5단서랍장,"10,000원",부산 연제구 거제제1동,8,6,https://dnvefa72aowie.cloudfront.net/origin/article/202307/c4314c97218da3a36e27155b177a918d00e2584d8e9e7c49e8b443271714f4a1.jpg?q=82&s=300x300&t=crop&f=webp
